policy,d,seed_idx,beta,r2
epsilon_greedy,2,2,0.9646195367541816,0.999580771837891
online_softmax_best_arm,2,2,0.9748584552659137,0.9994273551596872
softmax_best_arm,2,2,1.0098705884080619,0.9995971132338576
cluster_label_router,2,2,1.0296119319840833,0.9994178296021619
linucb_raw_alpha_0p5,2,2,1.0271505130026812,0.9995444264119371
linucb_raw_alpha_1,2,2,0.9939240561696059,0.9997926011167142
linucb_raw_alpha_2,2,2,0.9704193103000303,0.9993770683933685
linucb_raw_alpha_4,2,2,0.985818001279205,0.9991397251091736
linucb_raw_alpha_8,2,2,0.9808039625562596,0.9995137896177589
linucb_raw,2,2,0.9939240561696059,0.9997926011167142
uniform,2,3,0.972790469062025,0.9995300693475594
epsilon_greedy,2,3,0.9338102060817861,0.9990263577716113
online_softmax_best_arm,2,3,0.8898715259728727,0.9995733811565405
softmax_best_arm,2,3,0.9720711042322419,0.9994560974941605
cluster_label_router,2,3,0.9856916273342814,0.9990929233009788
linucb_raw_alpha_0p5,2,3,0.9721919358589611,0.9990425029508085
linucb_raw_alpha_1,2,3,0.9454216228483924,0.9990145235753385
linucb_raw_alpha_2,2,3,0.91518232256818,0.9996255301113762
linucb_raw_alpha_4,2,3,0.9360377029597822,0.9998316200153203
linucb_raw_alpha_8,2,3,0.9400464305056059,0.9997698506580471
linucb_raw,2,3,0.9454216228483924,0.9990145235753385
uniform,2,4,0.9836759228876547,0.9992688111970272
epsilon_greedy,2,4,0.9823690333692969,0.9996916659393431
online_softmax_best_arm,2,4,0.9210010875650182,0.9997785475688131
softmax_best_arm,2,4,1.0101978128145204,0.9994431453519498
cluster_label_router,2,4,1.0092311318066793,0.9995964707049649
linucb_raw_alpha_0p5,2,4,0.9705379275143231,0.9990863122535081
linucb_raw_alpha_1,2,4,0.9676126464479692,0.9990558901669127
linucb_raw_alpha_2,2,4,0.9336441202645275,0.9998590658444841
linucb_raw_alpha_4,2,4,0.959528952768794,0.9998333432036913
linucb_raw_alpha_8,2,4,0.9677217997359823,0.9998553661607333
linucb_raw,2,4,0.9676126464479692,0.9990558901669127
uniform,32,0,1.0347373565002949,0.9996012679855426
epsilon_greedy,32,0,0.9924879466044677,0.9998606442818259
online_softmax_best_arm,32,0,0.9695449932982647,0.9994201875172879
softmax_best_arm,32,0,1.0469091055654145,0.9996146477636038
cluster_label_router,32,0,0.9980432518091763,0.9998234700832503
linucb_raw_alpha_0p5,32,0,0.9573161776449887,0.9996396982746053
linucb_raw_alpha_1,32,0,0.955375411327008,0.999571123655898
linucb_raw_alpha_2,32,0,0.9558857733816611,0.9993884917613979
linucb_raw_alpha_4,32,0,0.9517022020363596,0.9990849906189757
linucb_raw_alpha_8,32,0,0.9595888165403254,0.9970773608020027
linucb_raw,32,0,0.955375411327008,0.999571123655898
uniform,32,1,0.9954251869969535,0.9998683098141996
epsilon_greedy,32,1,0.9910040751806757,0.9998164831232054
online_softmax_best_arm,32,1,0.9356145483080771,0.9998674050883194
softmax_best_arm,32,1,1.0184140844307719,0.999846521782425
cluster_label_router,32,1,0.9831503346593874,0.9999501346109143
linucb_raw_alpha_0p5,32,1,0.9177555349110508,0.9997678876711332
linucb_raw_alpha_1,32,1,0.9181201892131214,0.9998114276860188
linucb_raw_alpha_2,32,1,0.9294693439620249,0.9997045190080992
linucb_raw_alpha_4,32,1,0.9074261891519254,0.999687236132718
linucb_raw_alpha_8,32,1,0.9292340966171239,0.9998285685427227
linucb_raw,32,1,0.9181201892131214,0.9998114276860188
uniform,32,2,1.0207765784213438,0.9998711285478323
epsilon_greedy,32,2,0.994972470376416,0.9998629512250711
online_softmax_best_arm,32,2,0.9186102333225817,0.9989355849396896
softmax_best_arm,32,2,0.9981827223833936,0.999751040850719
cluster_label_router,32,2,0.9741878218059681,0.9996620849030434
linucb_raw_alpha_0p5,32,2,0.9407222170146461,0.9998339664765724
linucb_raw_alpha_1,32,2,0.9483688355042263,0.9997324710382444
linucb_raw_alpha_2,32,2,0.9250840824498989,0.9995639737467436
linucb_raw_alpha_4,32,2,0.9261366534979782,0.9997278927777303
linucb_raw_alpha_8,32,2,0.9183253511956047,0.9997231094955906
linucb_raw,32,2,0.9483688355042263,0.9997324710382444
uniform,32,3,0.9990811986955144,0.9998529993877094
epsilon_greedy,32,3,1.0008710943423778,0.9997635597344479
online_softmax_best_arm,32,3,0.9251457819583139,0.9992380580627671
softmax_best_arm,32,3,1.029102406426146,0.9988788887031793
cluster_label_router,32,3,1.0135164217424346,0.9998307705409722
linucb_raw_alpha_0p5,32,3,0.9648756534008759,0.999664400265555
linucb_raw_alpha_1,32,3,0.9821837672753709,0.9995622717352544
linucb_raw_alpha_2,32,3,0.959137690240203,0.9990040002117676
linucb_raw_alpha_4,32,3,0.9675612300363848,0.9988865974822101
linucb_raw_alpha_8,32,3,0.9822546058075929,0.9992115401696219
linucb_raw,32,3,0.9821837672753709,0.9995622717352544
uniform,32,4,0.9935597725451436,0.9998609182201824
epsilon_greedy,32,4,1.0341064600357661,0.999424117400296
online_softmax_best_arm,32,4,0.9508496743259317,0.9998740988699509
softmax_best_arm,32,4,1.0274931221060262,0.9996095685245415
cluster_label_router,32,4,1.0239682623973114,0.9996716562279578
linucb_raw_alpha_0p5,32,4,0.9506698175705884,0.9998234020252095
linucb_raw_alpha_1,32,4,0.9425771978805813,0.9997168308478261
linucb_raw_alpha_2,32,4,0.94861964102111,0.9997179304025394
linucb_raw_alpha_4,32,4,0.9554868066189908,0.9994834522241854
linucb_raw_alpha_8,32,4,0.9420498197251389,0.9994377215046989
linucb_raw,32,4,0.9425771978805813,0.9997168308478261
uniform,4,0,0.9884091811042376,0.999719701807309
epsilon_greedy,4,0,0.9628856424213664,0.9992528693274213
online_softmax_best_arm,4,0,0.9267282673349858,0.9997300594029529
softmax_best_arm,4,0,1.0296396014870275,0.9994932102452928
cluster_label_router,4,0,1.0148246910187164,0.9993974490095073
linucb_raw_alpha_0p5,4,0,0.9806957884477218,0.998999766982036
linucb_raw_alpha_1,4,0,0.9933334965393108,0.9995222825510285
linucb_raw_alpha_2,4,0,0.9715417363954697,0.9995614913549067
linucb_raw_alpha_4,4,0,0.9505437920045374,0.9996091084695107
linucb_raw_alpha_8,4,0,0.943295457255492,0.9998230601971216
linucb_raw,4,0,0.9933334965393108,0.9995222825510285
uniform,4,1,0.9889645259709476,0.9996047797867843
epsilon_greedy,4,1,0.9414467862547105,0.9995779223924617
online_softmax_best_arm,4,1,0.8988654792154739,0.999665041219327
softmax_best_arm,4,1,0.9690033007656836,0.9992539738272451
cluster_label_router,4,1,0.9820797154372743,0.9998171598825708
linucb_raw_alpha_0p5,4,1,0.9656697745967067,0.9990968606953632
linucb_raw_alpha_1,4,1,0.9458160691794115,0.9997039952761112
linucb_raw_alpha_2,4,1,0.9573560598560507,0.9995770917990562
linucb_raw_alpha_4,4,1,0.9679853998605813,0.9997998509556645
linucb_raw_alpha_8,4,1,0.9849845885725071,0.9997861815145029
linucb_raw,4,1,0.9458160691794115,0.9997039952761112
uniform,4,2,0.9804396862463018,0.9991886948567085
epsilon_greedy,4,2,0.9796470400137229,0.9995645698733219
online_softmax_best_arm,4,2,0.9683310922673097,0.9998029247614847
softmax_best_arm,4,2,0.9869926894207548,0.9991157563980312
cluster_label_router,4,2,0.9939869093595117,0.9995307769865446
linucb_raw_alpha_0p5,4,2,0.9505655167415706,0.9994450333001561
linucb_raw_alpha_1,4,2,0.9681621592144557,0.9994621329433855
linucb_raw_alpha_2,4,2,0.9443694342335265,0.9998479435262954
linucb_raw_alpha_4,4,2,0.952301931567607,0.9998278771469901
linucb_raw_alpha_8,4,2,0.9737033697366713,0.9998722990571935
linucb_raw,4,2,0.9681621592144557,0.9994621329433855
uniform,4,3,1.0133523638197834,0.9998506063660844
epsilon_greedy,4,3,0.9259583767099803,0.9994078063443231
online_softmax_best_arm,4,3,0.9094207306571361,0.999718523756728
softmax_best_arm,4,3,1.0241781741739495,0.9994928243729125
