block,expert_regime,d,seed_idx,seed,policy,final_cum_regret,avg_regret,chosen_arm_mean_reward,best_arm_acc,oracle_mean_reward,rmse_epsilon,max_epsilon,linucb_alpha
motivation,independent,4,0,0,uniform,2696.9294732813296,0.2696929473281326,0.7238542270843639,0.2481,0.9935471744124965,1.8929911329883262,5.5549919997249555,
motivation,independent,4,0,0,epsilon_greedy,2408.6830524762613,0.2408683052476269,0.7526788691648695,0.2578,0.9935471744124965,1.8929911329883262,5.5549919997249555,
motivation,independent,4,0,0,online_softmax_best_arm,2285.6494831758278,0.22856494831758378,0.7649822260949126,0.0677,0.9935471744124965,1.8929911329883262,5.5549919997249555,
motivation,independent,4,0,0,softmax_best_arm,2393.8959225453405,0.2393895922545339,0.7541575821579625,0.6956,0.9935471744124965,1.8929911329883262,5.5549919997249555,
motivation,independent,4,0,0,cluster_label_router,2369.407277309196,0.23694072773091912,0.7566064466815773,0.6977,0.9935471744124965,1.8929911329883262,5.5549919997249555,
motivation,independent,4,0,0,oracle,0.0,0.0,0.9935471744124965,1.0,0.9935471744124965,1.8929911329883262,5.5549919997249555,
motivation,independent,4,0,0,linucb_raw_alpha_1,2424.5411570242363,0.2424541157024243,0.751093058710072,0.2345,0.9935471744124965,1.8929911329883262,5.5549919997249555,1.0
motivation,independent,4,0,0,linucb_raw,2424.5411570242363,0.2424541157024243,0.751093058710072,0.2345,0.9935471744124965,1.8929911329883262,5.5549919997249555,1.0
motivation,joint,4,0,0,uniform,841.2903294878603,0.08412903294878599,0.8560009501124721,0.2538,0.9401299830612581,1.058489726032462,6.315705830909197,
motivation,joint,4,0,0,epsilon_greedy,600.6605408152807,0.060066054081528285,0.8800639289797298,0.0735,0.9401299830612581,1.058489726032462,6.315705830909197,
motivation,joint,4,0,0,online_softmax_best_arm,640.7482878501365,0.06407482878501397,0.8760551542762441,0.1174,0.9401299830612581,1.058489726032462,6.315705830909197,
motivation,joint,4,0,0,softmax_best_arm,909.6939903569273,0.09096939903569255,0.8491605840255656,0.6784,0.9401299830612581,1.058489726032462,6.315705830909197,
motivation,joint,4,0,0,cluster_label_router,737.0620228041397,0.07370620228041384,0.8664237807808443,0.3343,0.9401299830612581,1.058489726032462,6.315705830909197,
motivation,joint,4,0,0,oracle,0.0,0.0,0.9401299830612581,1.0,0.9401299830612581,1.058489726032462,6.315705830909197,
motivation,joint,4,0,0,linucb_raw_alpha_1,682.5140566729578,0.06825140566729601,0.871878577393962,0.1959,0.9401299830612581,1.058489726032462,6.315705830909197,1.0
motivation,joint,4,0,0,linucb_raw,682.5140566729578,0.06825140566729601,0.871878577393962,0.1959,0.9401299830612581,1.058489726032462,6.315705830909197,1.0
motivation,independent,4,1,1,uniform,2722.1326870701378,0.2722132687070147,0.721764879544227,0.2503,0.9939781482512416,1.9010861609996992,5.391974681404489,
motivation,independent,4,1,1,epsilon_greedy,2681.6309937492133,0.2681630993749216,0.7258150488763201,0.2524,0.9939781482512416,1.9010861609996992,5.391974681404489,
motivation,independent,4,1,1,online_softmax_best_arm,2388.7664275514467,0.23887664275514434,0.7551015054960973,0.0953,0.9939781482512416,1.9010861609996992,5.391974681404489,
motivation,independent,4,1,1,softmax_best_arm,2436.5475256590453,0.2436547525659045,0.7503233956853371,0.6898,0.9939781482512416,1.9010861609996992,5.391974681404489,
motivation,independent,4,1,1,cluster_label_router,2441.1212013421664,0.24411212013421626,0.7498660281170254,0.6893,0.9939781482512416,1.9010861609996992,5.391974681404489,
motivation,independent,4,1,1,oracle,0.0,0.0,0.9939781482512416,1.0,0.9939781482512416,1.9010861609996992,5.391974681404489,
motivation,independent,4,1,1,linucb_raw_alpha_1,2441.3597627799745,0.2441359762779977,0.7498421719732439,0.1844,0.9939781482512416,1.9010861609996992,5.391974681404489,1.0
motivation,independent,4,1,1,linucb_raw,2441.3597627799745,0.2441359762779977,0.7498421719732439,0.1844,0.9939781482512416,1.9010861609996992,5.391974681404489,1.0
motivation,joint,4,1,1,uniform,1036.7617029771425,0.10367617029771423,0.8457563239780862,0.2511,0.9494324942758001,1.1745860348841548,6.2287626510056775,
motivation,joint,4,1,1,epsilon_greedy,818.0720769701768,0.08180720769701767,0.8676252865787827,0.227,0.9494324942758001,1.1745860348841548,6.2287626510056775,
motivation,joint,4,1,1,online_softmax_best_arm,815.2648558068056,0.08152648558068061,0.8679060086951198,0.2207,0.9494324942758001,1.1745860348841548,6.2287626510056775,
motivation,joint,4,1,1,softmax_best_arm,1037.0338513303545,0.10370338513303577,0.8457291091427646,0.6652,0.9494324942758001,1.1745860348841548,6.2287626510056775,
motivation,joint,4,1,1,cluster_label_router,886.0617018525612,0.08860617018525611,0.8608263240905443,0.3399,0.9494324942758001,1.1745860348841548,6.2287626510056775,
motivation,joint,4,1,1,oracle,0.0,0.0,0.9494324942758001,1.0,0.9494324942758001,1.1745860348841548,6.2287626510056775,
motivation,joint,4,1,1,linucb_raw_alpha_1,802.23884793662,0.08022388479366163,0.8692086094821386,0.2148,0.9494324942758001,1.1745860348841548,6.2287626510056775,1.0
motivation,joint,4,1,1,linucb_raw,802.23884793662,0.08022388479366163,0.8692086094821386,0.2148,0.9494324942758001,1.1745860348841548,6.2287626510056775,1.0
motivation,independent,4,2,2,uniform,2750.7857083621584,0.2750785708362163,0.7186555772734097,0.2517,0.993734148109626,1.9135367878072072,5.604457202122381,
motivation,independent,4,2,2,epsilon_greedy,2712.630507908541,0.2712630507908538,0.7224710973187721,0.2487,0.993734148109626,1.9135367878072072,5.604457202122381,
motivation,independent,4,2,2,online_softmax_best_arm,2458.392189748847,0.24583921897488495,0.7478949291347411,0.0801,0.993734148109626,1.9135367878072072,5.604457202122381,
motivation,independent,4,2,2,softmax_best_arm,2416.6627425670317,0.2416662742567036,0.7520678738529225,0.6885,0.993734148109626,1.9135367878072072,5.604457202122381,
motivation,independent,4,2,2,cluster_label_router,2422.9169778967744,0.24229169778967757,0.7514424503199484,0.6889,0.993734148109626,1.9135367878072072,5.604457202122381,
motivation,independent,4,2,2,oracle,0.0,0.0,0.993734148109626,1.0,0.993734148109626,1.9135367878072072,5.604457202122381,
motivation,independent,4,2,2,linucb_raw_alpha_1,2372.7500436763344,0.2372750043676333,0.7564591437419926,0.0409,0.993734148109626,1.9135367878072072,5.604457202122381,1.0
motivation,independent,4,2,2,linucb_raw,2372.7500436763344,0.2372750043676333,0.7564591437419926,0.0409,0.993734148109626,1.9135367878072072,5.604457202122381,1.0
motivation,joint,4,2,2,uniform,917.3795256061512,0.09173795256061525,0.8539862325196331,0.2497,0.9457241850802482,1.0407683765646514,6.174636056102346,
motivation,joint,4,2,2,epsilon_greedy,833.1084308640424,0.0833108430864041,0.8624133419938443,0.2377,0.9457241850802482,1.0407683765646514,6.174636056102346,
motivation,joint,4,2,2,online_softmax_best_arm,779.4858084149612,0.07794858084149624,0.8677756042387522,0.2284,0.9457241850802482,1.0407683765646514,6.174636056102346,
motivation,joint,4,2,2,softmax_best_arm,887.2090705898363,0.08872090705898368,0.8570032780212649,0.6667,0.9457241850802482,1.0407683765646514,6.174636056102346,
motivation,joint,4,2,2,cluster_label_router,897.3947788443401,0.08973947788443382,0.8559847071958145,0.2687,0.9457241850802482,1.0407683765646514,6.174636056102346,
motivation,joint,4,2,2,oracle,0.0,0.0,0.9457241850802482,1.0,0.9457241850802482,1.0407683765646514,6.174636056102346,
motivation,joint,4,2,2,linucb_raw_alpha_1,815.6820441354782,0.08156820441354772,0.8641559806667006,0.1757,0.9457241850802482,1.0407683765646514,6.174636056102346,1.0
motivation,joint,4,2,2,linucb_raw,815.6820441354782,0.08156820441354772,0.8641559806667006,0.1757,0.9457241850802482,1.0407683765646514,6.174636056102346,1.0
main,joint,2,0,0,uniform,585.6465031892317,0.05856465031892329,0.8860829411011913,0.254,0.9446475914201147,0.9154969784149796,6.339277766860067,
main,joint,2,0,0,epsilon_greedy,470.3461369320146,0.04703461369320115,0.8976129777269136,0.2021,0.9446475914201147,0.9154969784149796,6.339277766860067,
main,joint,2,0,0,online_softmax_best_arm,473.64610579201207,0.04736461057920108,0.8972829808409136,0.2406,0.9446475914201147,0.9154969784149796,6.339277766860067,
main,joint,2,0,0,softmax_best_arm,570.657457645849,0.05706574576458487,0.8875818456555297,0.705,0.9446475914201147,0.9154969784149796,6.339277766860067,
main,joint,2,0,0,cluster_label_router,481.93879621301954,0.048193879621301915,0.8964537117988126,0.2614,0.9446475914201147,0.9154969784149796,6.339277766860067,
main,joint,2,0,0,oracle,0.0,0.0,0.9446475914201147,1.0,0.9446475914201147,0.9154969784149796,6.339277766860067,
main,joint,2,0,0,linucb_raw_alpha_0.5,527.296330787816,0.052729633078781785,0.8919179583413326,0.2666,0.9446475914201147,0.9154969784149796,6.339277766860067,0.5
main,joint,2,0,0,linucb_raw_alpha_1,470.58150786465654,0.04705815078646563,0.8975894406336489,0.2418,0.9446475914201147,0.9154969784149796,6.339277766860067,1.0
main,joint,2,0,0,linucb_raw_alpha_2,504.85016682808083,0.05048501668280804,0.8941625747373065,0.2998,0.9446475914201147,0.9154969784149796,6.339277766860067,2.0
main,joint,2,0,0,linucb_raw_alpha_4,505.8813710615371,0.05058813710615372,0.8940594543139608,0.3044,0.9446475914201147,0.9154969784149796,6.339277766860067,4.0
main,joint,2,0,0,linucb_raw_alpha_8,549.1007370095094,0.05491007370095115,0.8897375177191634,0.2504,0.9446475914201147,0.9154969784149796,6.339277766860067,8.0
main,joint,2,0,0,linucb_raw,470.58150786465654,0.04705815078646563,0.8975894406336489,0.2418,0.9446475914201147,0.9154969784149796,6.339277766860067,1.0
main,joint,2,1,1,uniform,1118.0577564240036,0.11180577564240052,0.8512081933079673,0.2476,0.9630139689503677,1.0621178382248857,6.3193492553823525,
main,joint,2,1,1,epsilon_greedy,1004.4171898411491,0.10044171898411464,0.862572249966253,0.262,0.9630139689503677,1.0621178382248857,6.3193492553823525,
main,joint,2,1,1,online_softmax_best_arm,808.4032828361894,0.08084032828361892,0.8821736406667489,0.1535,0.9630139689503677,1.0621178382248857,6.3193492553823525,
main,joint,2,1,1,softmax_best_arm,927.603220498414,0.09276032204984146,0.8702536469005263,0.7299,0.9630139689503677,1.0621178382248857,6.3193492553823525,
main,joint,2,1,1,cluster_label_router,1040.9687111803046,0.10409687111803013,0.8589170978323375,0.358,0.9630139689503677,1.0621178382248857,6.3193492553823525,
main,joint,2,1,1,oracle,0.0,0.0,0.9630139689503677,1.0,0.9630139689503677,1.0621178382248857,6.3193492553823525,
main,joint,2,1,1,linucb_raw_alpha_0.5,769.3173397300685,0.07693173397300647,0.8860822349773615,0.2141,0.9630139689503677,1.0621178382248857,6.3193492553823525,0.5
main,joint,2,1,1,linucb_raw_alpha_1,760.3215116049106,0.07603215116049072,0.8869818177898771,0.205,0.9630139689503677,1.0621178382248857,6.3193492553823525,1.0
main,joint,2,1,1,linucb_raw_alpha_2,792.9428940767463,0.07929428940767437,0.8837196795426935,0.2926,0.9630139689503677,1.0621178382248857,6.3193492553823525,2.0
main,joint,2,1,1,linucb_raw_alpha_4,872.9164819575744,0.0872916481957574,0.8757223207546103,0.2328,0.9630139689503677,1.0621178382248857,6.3193492553823525,4.0
main,joint,2,1,1,linucb_raw_alpha_8,953.9606727872641,0.09539606727872627,0.8676179016716414,0.2603,0.9630139689503677,1.0621178382248857,6.3193492553823525,8.0
main,joint,2,1,1,linucb_raw,760.3215116049106,0.07603215116049072,0.8869818177898771,0.205,0.9630139689503677,1.0621178382248857,6.3193492553823525,1.0
main,joint,2,2,2,uniform,884.4872916713932,0.08844872916713928,0.8645292279122779,0.2567,0.9529779570794169,0.9951915267151441,6.419314115415594,
main,joint,2,2,2,epsilon_greedy,648.0412032854431,0.06480412032854438,0.8881738367508728,0.25,0.9529779570794169,0.9951915267151441,6.419314115415594,
main,joint,2,2,2,online_softmax_best_arm,653.869365124106,0.06538693651241065,0.8875910205670065,0.3939,0.9529779570794169,0.9951915267151441,6.419314115415594,
main,joint,2,2,2,softmax_best_arm,739.4246965194208,0.07394246965194219,0.8790354874274748,0.7298,0.9529779570794169,0.9951915267151441,6.419314115415594,
main,joint,2,2,2,cluster_label_router,753.2579420518284,0.07532579420518286,0.8776521628742343,0.3943,0.9529779570794169,0.9951915267151441,6.419314115415594,
main,joint,2,2,2,oracle,0.0,0.0,0.9529779570794169,1.0,0.9529779570794169,0.9951915267151441,6.419314115415594,
main,joint,2,2,2,linucb_raw_alpha_0.5,655.8885135101511,0.06558885135101507,0.8873891057284021,0.2076,0.9529779570794169,0.9951915267151441,6.419314115415594,0.5
main,joint,2,2,2,linucb_raw_alpha_1,652.5078791323225,0.06525078791323223,0.8877271691661849,0.2381,0.9529779570794169,0.9951915267151441,6.419314115415594,1.0
main,joint,2,2,2,linucb_raw_alpha_2,671.5244396401142,0.06715244396401156,0.8858255131154056,0.3023,0.9529779570794169,0.9951915267151441,6.419314115415594,2.0
main,joint,2,2,2,linucb_raw_alpha_4,697.0456384842671,0.0697045638484268,0.8832733932309902,0.3185,0.9529779570794169,0.9951915267151441,6.419314115415594,4.0
